"name","url","local_match"
"federation","https://github.com/vortsghost2025/federation","True"
"self-organizing-library","https://github.com/vortsghost2025/self-organizing-library","True"
"Genesis-Kernel-World-Sim","https://github.com/vortsghost2025/Genesis-Kernel-World-Sim","True"
"waveterm-pwsh7-mcp","https://github.com/vortsghost2025/waveterm-pwsh7-mcp","True"
"sean-machine-janitor","https://github.com/vortsghost2025/sean-machine-janitor","True"
"Archivist-Agent","https://github.com/vortsghost2025/Archivist-Agent","True"
"kucoin-lane","https://github.com/vortsghost2025/kucoin-lane","True"
"solana-launch-lane","https://github.com/vortsghost2025/solana-launch-lane","True"
"kernel-lane","https://github.com/vortsghost2025/kernel-lane","True"
"SwarmMind-Self-Optimizing-Multi-Agent-AI-System","https://github.com/vortsghost2025/SwarmMind-Self-Optimizing-Multi-Agent-AI-System","True"
"WE4FREE-Control-Plane","https://github.com/vortsghost2025/WE4FREE-Control-Plane","True"
"WE4FREE-Lattice-Deck","https://github.com/vortsghost2025/WE4FREE-Lattice-Deck","True"
"WE4FREE-Research-Intake","https://github.com/vortsghost2025/WE4FREE-Research-Intake","True"
"wmux-","https://github.com/vortsghost2025/wmux-","True"
"Rom-Baro","https://github.com/vortsghost2025/Rom-Baro","True"
"we-and-ai-papers","https://github.com/vortsghost2025/we-and-ai-papers","False"
"Genesis-Kernel-First-Humans-World-Sim","https://github.com/vortsghost2025/Genesis-Kernel-First-Humans-World-Sim","True"
"SharkGame4Adam","https://github.com/vortsghost2025/SharkGame4Adam","True"
"fliipd","https://github.com/vortsghost2025/fliipd","True"
"Deliberate-AI-Ensemble","https://github.com/vortsghost2025/Deliberate-AI-Ensemble","False"
"ONEQUEMVP","https://github.com/vortsghost2025/ONEQUEMVP","False"
"FreeAgent","https://github.com/vortsghost2025/FreeAgent","False"
"storytime","https://github.com/vortsghost2025/storytime","False"
"mev-bot","https://github.com/vortsghost2025/mev-bot","False"
"connection-bridge","https://github.com/vortsghost2025/connection-bridge","False"
"federation-creative","https://github.com/vortsghost2025/federation-creative","False"
"shared-infra","https://github.com/vortsghost2025/shared-infra","False"
"supreme-octo-computing-machine","https://github.com/vortsghost2025/supreme-octo-computing-machine","False"
"build-me-an-app-that-acts-like-a-massive-self-organizing-library-i-have-5000-documents-45000-words-i","https://github.com/vortsghost2025/build-me-an-app-that-acts-like-a-massive-self-organizing-library-i-have-5000-documents-45000-words-i","False"
"kilo-desktop","https://github.com/vortsghost2025/kilo-desktop","False"
"Ide","https://github.com/vortsghost2025/Ide","False"
"snac-v2","https://github.com/vortsghost2025/snac-v2","False"
"multi-ai-ensemble","https://github.com/vortsghost2025/multi-ai-ensemble","False"
"expert-octo-carnival","https://github.com/vortsghost2025/expert-octo-carnival","False"
"medical","https://github.com/vortsghost2025/medical","False"
"autonomous-elasticsearch-evolution-agent","https://github.com/vortsghost2025/autonomous-elasticsearch-evolution-agent","False"
"docs","https://github.com/vortsghost2025/docs","False"
"kucoin-margin-bot","https://github.com/vortsghost2025/kucoin-margin-bot","False"
"ai-ensemble-lab-","https://github.com/vortsghost2025/ai-ensemble-lab-","False"
