[identity] Trust store loaded: 4 lanes from /home/we4free/agent/repos/self-organizing-library/lanes/broadcast/trust-store.json
[lane-worker] lane=library dry_run=false scanned=0 processed=0 action-required=0 in-progress=0 blocked=0 quarantine=0
[lane-worker] lane=library dry_run=false scanned=0 processed=0 action-required=0 in-progress=0 blocked=0 quarantine=0
[lane-worker] lane=library dry_run=false scanned=0 processed=0 action-required=0 in-progress=0 blocked=0 quarantine=0
[lane-worker] lane=library dry_run=false scanned=0 processed=0 action-required=0 in-progress=0 blocked=0 quarantine=0
[lane-worker] lane=library dry_run=false scanned=0 processed=0 action-required=0 in-progress=0 blocked=0 quarantine=0
[lane-worker] lane=library dry_run=false scanned=0 processed=0 action-required=0 in-progress=0 blocked=0 quarantine=0
[lane-worker] lane=library dry_run=false scanned=0 processed=0 action-required=0 in-progress=0 blocked=0 quarantine=0
[lane-worker] lane=library dry_run=false scanned=0 processed=0 action-required=0 in-progress=0 blocked=0 quarantine=0
[lane-worker] lane=library dry_run=false scanned=0 processed=0 action-required=0 in-progress=0 blocked=0 quarantine=0
[lane-worker] lane=library dry_run=false scanned=0 processed=0 action-required=0 in-progress=0 blocked=0 quarantine=0
[lane-worker] lane=library dry_run=false scanned=0 processed=0 action-required=0 in-progress=0 blocked=0 quarantine=0
[lane-worker] lane=library dry_run=false scanned=0 processed=0 action-required=0 in-progress=0 blocked=0 quarantine=0
[lane-worker] lane=library dry_run=false scanned=0 processed=0 action-required=0 in-progress=0 blocked=0 quarantine=0
[lane-worker] lane=library dry_run=false scanned=0 processed=0 action-required=0 in-progress=0 blocked=0 quarantine=0
[lane-worker] lane=library dry_run=false scanned=0 processed=0 action-required=0 in-progress=0 blocked=0 quarantine=0
[lane-worker] lane=library dry_run=false scanned=0 processed=0 action-required=0 in-progress=0 blocked=0 quarantine=0
[lane-worker] lane=library dry_run=false scanned=0 processed=0 action-required=0 in-progress=0 blocked=0 quarantine=0
[lane-worker] lane=library dry_run=false scanned=0 processed=0 action-required=0 in-progress=0 blocked=0 quarantine=0
[lane-worker] lane=library dry_run=false scanned=0 processed=0 action-required=0 in-progress=0 blocked=0 quarantine=0
[lane-worker] lane=library dry_run=false scanned=0 processed=0 action-required=0 in-progress=0 blocked=0 quarantine=0
[lane-worker] lane=library dry_run=false scanned=0 processed=0 action-required=0 in-progress=0 blocked=0 quarantine=0
[lane-worker] lane=library dry_run=false scanned=0 processed=0 action-required=0 in-progress=0 blocked=0 quarantine=0
[lane-worker] lane=library dry_run=false scanned=0 processed=0 action-required=0 in-progress=0 blocked=0 quarantine=0
[lane-worker] lane=library dry_run=false scanned=0 processed=0 action-required=0 in-progress=0 blocked=0 quarantine=0
[lane-worker] lane=library dry_run=false scanned=0 processed=0 action-required=0 in-progress=0 blocked=0 quarantine=0
